Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-01 02:30:00.000 +0200,996.81,-8.66,264.74,-9.46,93.9,3.17,2.98,0.19,1.86,2.99,1311.37,0.33,0.75,155.9
2009-01-01 02:40:00.000 +0200,996.81,-8.66,264.74,-9.5,93.6,3.17,2.97,0.2,1.85,2.98,1311.38,0.07,0.5,272.4
2009-01-01 02:50:00.000 +0200,996.86,-8.7,264.7,-9.55,93.5,3.16,2.95,0.21,1.85,2.96,1311.64,0.32,0.63,219.2
2009-01-01 03:00:00.000 +0200,996.84,-8.81,264.59,-9.66,93.5,3.13,2.93,0.2,1.83,2.94,1312.18,0.18,0.63,167.2
2009-01-01 03:10:00.000 +0200,996.87,-8.84,264.56,-9.69,93.5,3.13,2.92,0.2,1.83,2.93,1312.37,0.07,0.25,129.3
2009-01-01 03:20:00.000 +0200,996.97,-8.94,264.45,-9.82,93.3,3.1,2.89,0.21,1.81,2.9,1313.01,0.1,0.63,115.3
2009-01-01 03:30:00.000 +0200,997.08,-8.94,264.44,-9.8,93.4,3.1,2.9,0.2,1.81,2.9,1313.15,0.3,0.75,149.3
2009-01-01 03:40:00.000 +0200,997.1,-8.86,264.52,-9.76,93.1,3.12,2.9,0.22,1.81,2.91,1312.78,0.29,0.75,149.7
2009-01-01 03:50:00.000 +0200,997.06,-8.99,264.39,-9.99,92.4,3.09,2.85,0.23,1.78,2.86,1313.39,0.12,0.63,231.7
2009-01-01 04:00:00.000 +0200,996.99,-9.05,264.34,-10.02,92.6,3.07,2.85,0.23,1.78,2.85,1313.61,0.1,0.38,240.0
2009-01-01 04:10:00.000 +0200,997.05,-9.23,264.15,-10.25,92.2,3.03,2.79,0.24,1.74,2.8,1314.62,0.1,0.38,203.9
2009-01-01 04:20:00.000 +0200,997.11,-9.49,263.89,-10.54,92.0,2.97,2.73,0.24,1.71,2.74,1316.02,0.34,0.75,159.7
2009-01-01 04:30:00.000 +0200,997.19,-9.5,263.87,-10.51,92.3,2.97,2.74,0.23,1.71,2.75,1316.16,0.43,0.88,66.16
2009-01-01 04:40:00.000 +0200,997.24,-9.35,264.02,-10.29,92.8,3.0,2.79,0.22,1.74,2.79,1315.47,0.4,0.88,105.0
2009-01-01 04:50:00.000 +0200,997.37,-9.47,263.89,-10.46,92.4,2.97,2.75,0.23,1.72,2.75,1316.25,0.37,0.75,125.8
2009-01-01 05:00:00.000 +0200,997.46,-9.63,263.72,-10.65,92.2,2.94,2.71,0.23,1.69,2.71,1317.19,0.4,0.88,157.0
2009-01-01 05:10:00.000 +0200,997.43,-9.67,263.68,-10.63,92.6,2.93,2.71,0.22,1.69,2.72,1317.35,0.36,0.75,132.5
2009-01-01 05:20:00.000 +0200,997.42,-9.68,263.67,-10.73,92.0,2.92,2.69,0.23,1.68,2.7,1317.4,0.09,0.5,143.2
2009-01-01 05:30:00.000 +0200,997.53,-9.9,263.45,-10.98,91.7,2.87,2.64,0.24,1.64,2.64,1318.68,0.29,1.0,72.5
2009-01-01 05:40:00.000 +0200,997.6,-9.91,263.43,-10.9,92.4,2.87,2.65,0.22,1.66,2.66,1318.81,0.5,1.0,60.72
2009-01-01 05:50:00.000 +0200,997.62,-9.51,263.83,-10.37,93.4,2.96,2.77,0.2,1.73,2.77,1316.77,0.31,0.75,147.4
2009-01-01 06:00:00.000 +0200,997.71,-9.67,263.66,-10.62,92.7,2.93,2.71,0.21,1.69,2.72,1317.71,0.05,0.5,146.0
2009-01-01 06:10:00.000 +0200,997.81,-9.59,263.74,-10.47,93.2,2.95,2.74,0.2,1.71,2.75,1317.44,0.24,0.75,161.6
2009-01-01 06:20:00.000 +0200,997.86,-9.15,264.17,-10.02,93.3,3.05,2.85,0.2,1.78,2.85,1315.26,0.18,0.5,125.7
2009-01-01 06:30:00.000 +0200,998.0,-8.91,264.4,-9.89,92.5,3.11,2.87,0.23,1.79,2.88,1314.23,0.45,0.88,67.11
2009-01-01 06:40:00.000 +0200,998.14,-9.04,264.26,-10.11,91.9,3.08,2.83,0.25,1.76,2.83,1315.09,1.48,2.75,14.0
2009-01-01 06:50:00.000 +0200,998.21,-9.43,263.86,-10.57,91.3,2.98,2.72,0.26,1.7,2.73,1317.18,2.51,3.63,357.0
2009-01-01 07:00:00.000 +0200,998.33,-9.17,264.12,-10.1,92.9,3.04,2.83,0.22,1.76,2.83,1315.98,2.08,2.88,348.8
2009-01-01 07:10:00.000 +0200,998.5,-8.71,264.56,-9.63,93.0,3.16,2.94,0.22,1.83,2.94,1313.87,2.06,2.75,338.1
2009-01-01 07:20:00.000 +0200,998.59,-8.55,264.72,-9.47,93.0,3.2,2.97,0.22,1.85,2.98,1313.17,1.95,2.38,357.9
2009-01-01 07:30:00.000 +0200,998.79,-8.4,264.85,-9.31,93.1,3.24,3.01,0.22,1.88,3.02,1312.67,0.92,1.38,340.1
2009-01-01 07:40:00.000 +0200,998.86,-8.3,264.95,-9.21,93.1,3.26,3.04,0.22,1.89,3.04,1312.25,0.81,1.13,321.1
2009-01-01 07:50:00.000 +0200,999.04,-8.13,265.1,-9.03,93.2,3.3,3.08,0.22,1.92,3.08,1311.63,0.61,1.13,254.2
2009-01-01 08:00:00.000 +0200,999.17,-8.1,265.12,-9.05,92.8,3.31,3.07,0.24,1.92,3.08,1311.65,0.72,1.25,213.9
2009-01-01 08:10:00.000 +0200,999.27,-8.14,265.08,-9.12,92.6,3.3,3.06,0.24,1.91,3.06,1311.98,0.71,1.0,241.4
2009-01-01 08:20:00.000 +0200,999.33,-8.06,265.15,-9.02,92.7,3.32,3.08,0.24,1.92,3.08,1311.66,0.53,0.88,242.5
2009-01-01 08:30:00.000 +0200,999.44,-7.95,265.25,-8.93,92.6,3.35,3.1,0.25,1.93,3.1,1311.26,0.53,0.88,352.7
2009-01-01 08:40:00.000 +0200,999.46,-7.74,265.46,-8.67,93.0,3.41,3.17,0.24,1.97,3.17,1310.21,0.38,0.75,100.2
2009-01-01 08:50:00.000 +0200,999.59,-7.57,265.62,-8.64,92.0,3.45,3.18,0.28,1.98,3.18,1309.54,0.17,0.5,166.7
2009-01-01 09:00:00.000 +0200,999.69,-7.66,265.52,-8.84,91.2,3.43,3.13,0.3,1.95,3.13,1310.14,0.34,0.63,202.2
2009-01-01 09:10:00.000 +0200,999.79,-7.71,265.47,-8.87,91.3,3.41,3.12,0.3,1.94,3.12,1310.51,0.14,0.5,235.0
2009-01-01 09:20:00.000 +0200,999.81,-7.56,265.61,-8.67,91.7,3.45,3.17,0.29,1.97,3.17,1309.78,0.11,0.38,310.5
2009-01-01 09:30:00.000 +0200,999.83,-7.29,265.88,-8.33,92.2,3.53,3.25,0.28,2.03,3.25,1308.43,0.75,2.5,17.3
2009-01-01 09:40:00.000 +0200,999.96,-7.15,266.01,-8.21,92.1,3.57,3.28,0.28,2.05,3.28,1307.9,1.62,2.75,4.63
2009-01-01 09:50:00.000 +0200,1000.13,-7.02,266.13,-8.06,92.2,3.6,3.32,0.28,2.07,3.32,1307.46,1.24,3.13,314.3
2009-01-01 10:00:00.000 +0200,1000.27,-7.04,266.1,-8.17,91.6,3.6,3.3,0.3,2.05,3.29,1307.76,1.45,3.0,292.6
2009-01-01 10:10:00.000 +0200,1000.43,-7.03,266.1,-8.16,91.6,3.6,3.3,0.3,2.05,3.3,1307.91,1.12,2.75,266.3
2009-01-01 10:20:00.000 +0200,1000.54,-7.15,265.97,-8.34,91.1,3.57,3.25,0.32,2.02,3.25,1308.67,2.12,3.25,267.2
2009-01-01 10:30:00.000 +0200,1000.68,-7.26,265.85,-8.47,91.0,3.54,3.22,0.32,2.0,3.22,1309.41,1.54,3.25,258.8
2009-01-01 10:40:00.000 +0200,1000.78,-7.34,265.76,-8.57,90.8,3.51,3.19,0.32,1.99,3.19,1309.96,1.81,3.0,257.0
2009-01-01 10:50:00.000 +0200,1000.83,-7.35,265.75,-8.57,90.9,3.51,3.19,0.32,1.99,3.19,1310.07,1.77,3.25,260.5
2009-01-01 11:00:00.000 +0200,1000.87,-7.41,265.68,-8.66,90.7,3.5,3.17,0.33,1.97,3.17,1310.43,1.91,3.38,269.6
2009-01-01 11:10:00.000 +0200,1000.81,-7.48,265.62,-8.76,90.5,3.48,3.15,0.33,1.96,3.14,1310.71,1.73,3.25,247.1
2009-01-01 11:20:00.000 +0200,1000.74,-7.38,265.72,-8.64,90.6,3.5,3.17,0.33,1.98,3.17,1310.1,1.25,2.13,230.6
2009-01-01 11:30:00.000 +0200,1000.61,-7.21,265.9,-8.53,90.2,3.55,3.2,0.35,1.99,3.2,1309.08,1.41,2.25,208.2
2009-01-01 11:40:00.000 +0200,1000.5,-7.16,265.96,-8.54,89.8,3.56,3.2,0.36,1.99,3.2,1308.69,1.28,1.88,198.9
2009-01-01 11:50:00.000 +0200,1000.36,-7.03,266.1,-8.44,89.6,3.6,3.23,0.37,2.01,3.22,1307.86,1.75,3.0,207.5
2009-01-01 12:00:00.000 +0200,1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.4
2009-01-01 12:10:00.000 +0200,1000.21,-6.77,266.38,-8.19,89.5,3.67,3.29,0.39,2.05,3.29,1306.33,2.15,2.88,202.8
2009-01-01 12:20:00.000 +0200,1000.18,-6.7,266.44,-8.09,89.8,3.69,3.32,0.38,2.06,3.32,1305.97,1.89,3.13,222.7
2009-01-01 12:30:00.000 +0200,1000.14,-6.61,266.54,-8.0,89.7,3.72,3.34,0.38,2.08,3.34,1305.44,2.25,3.38,237.6
2009-01-01 12:40:00.000 +0200,1000.02,-6.51,266.65,-7.93,89.5,3.75,3.36,0.39,2.09,3.36,1304.79,1.28,2.63,197.9
2009-01-01 12:50:00.000 +0200,1000.02,-6.21,266.95,-7.65,89.4,3.84,3.43,0.41,2.14,3.43,1303.28,0.33,1.0,202.6
2009-01-01 13:00:00.000 +0200,1000.03,-5.89,267.27,-7.46,88.6,3.93,3.48,0.45,2.17,3.48,1301.73,0.57,1.25,187.3
2009-01-01 13:10:00.000 +0200,999.97,-5.83,267.33,-7.52,87.8,3.95,3.47,0.48,2.16,3.47,1301.38,0.86,1.38,160.9
2009-01-01 13:20:00.000 +0200,999.97,-5.76,267.41,-7.46,87.7,3.97,3.48,0.49,2.17,3.48,1301.0,0.91,1.63,180.1
2009-01-01 13:30:00.000 +0200,1000.02,-5.9,267.26,-7.62,87.5,3.93,3.44,0.49,2.14,3.44,1301.76,1.45,2.0,138.1
2009-01-01 13:40:00.000 +0200,999.89,-5.97,267.2,-7.55,88.5,3.91,3.46,0.45,2.15,3.46,1301.94,1.22,1.88,161.4
2009-01-01 13:50:00.000 +0200,999.81,-5.88,267.3,-7.44,88.6,3.94,3.49,0.45,2.17,3.49,1301.37,1.43,2.0,146.0
2009-01-01 14:00:00.000 +0200,999.81,-5.94,267.24,-7.43,89.1,3.92,3.49,0.43,2.17,3.49,1301.67,1.25,2.0,144.0
2009-01-01 14:10:00.000 +0200,999.81,-5.84,267.34,-7.26,89.6,3.95,3.54,0.41,2.2,3.54,1301.17,1.01,2.13,151.0
2009-01-01 14:20:00.000 +0200,999.8,-5.76,267.41,-7.16,89.8,3.97,3.56,0.4,2.22,3.56,1300.77,1.19,1.88,157.0
2009-01-01 14:30:00.000 +0200,999.81,-5.75,267.43,-7.14,89.8,3.97,3.57,0.41,2.22,3.57,1300.69,1.25,2.0,145.1
2009-01-01 14:40:00.000 +0200,999.82,-5.76,267.41,-7.1,90.2,3.97,3.58,0.39,2.23,3.58,1300.77,1.35,2.25,137.7
2009-01-01 14:50:00.000 +0200,999.83,-5.73,267.45,-7.05,90.3,3.98,3.59,0.39,2.24,3.59,1300.61,1.74,2.38,142.4
2009-01-01 15:00:00.000 +0200,999.88,-5.69,267.48,-7.0,90.4,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.9
2009-01-01 15:10:00.000 +0200,999.98,-5.53,267.63,-6.87,90.2,4.04,3.64,0.4,2.27,3.64,1299.83,1.33,1.75,148.6
2009-01-01 15:20:00.000 +0200,1000.06,-5.57,267.59,-6.97,89.8,4.03,3.62,0.41,2.25,3.62,1300.14,1.24,2.0,146.1
2009-01-01 15:30:00.000 +0200,1000.04,-5.43,267.73,-6.8,90.0,4.07,3.66,0.41,2.28,3.66,1299.4,0.9,1.25,155.1
2009-01-01 15:40:00.000 +0200,1000.0,-5.32,267.84,-6.76,89.5,4.11,3.68,0.43,2.29,3.68,1298.82,0.98,1.5,137.5
2009-01-01 15:50:00.000 +0200,999.95,-5.36,267.81,-6.84,89.2,4.09,3.65,0.44,2.28,3.65,1298.95,1.48,2.25,151.9
2009-01-01 16:00:00.000 +0200,999.94,-5.4,267.76,-6.86,89.4,4.08,3.65,0.43,2.27,3.65,1299.17,1.4,2.13,145.5
2009-01-01 16:10:00.000 +0200,1000.05,-5.31,267.85,-6.69,89.9,4.11,3.69,0.42,2.3,3.69,1298.81,1.03,1.5,127.0
2009-01-01 16:20:00.000 +0200,1000.05,-5.28,267.88,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.69,1.11,1.88,134.7
2009-01-01 16:30:00.000 +0200,1000.1,-5.32,267.83,-6.77,89.5,4.11,3.67,0.43,2.29,3.67,1298.96,1.35,2.13,132.3
2009-01-01 16:40:00.000 +0200,1000.17,-5.29,267.86,-6.7,89.7,4.12,3.69,0.42,2.3,3.69,1298.87,1.03,1.75,140.8
2009-01-01 16:50:00.000 +0200,1000.13,-5.33,267.82,-6.81,89.2,4.1,3.66,0.44,2.28,3.66,1299.04,1.08,1.5,160.0
2009-01-01 17:00:00.000 +0200,1000.17,-5.37,267.78,-6.82,89.4,4.09,3.66,0.43,2.28,3.66,1299.27,0.85,1.63,142.2
2009-01-01 17:10:00.000 +0200,1000.17,-5.43,267.72,-6.9,89.3,4.07,3.64,0.44,2.26,3.64,1299.6,1.27,1.88,144.0
2009-01-01 17:20:00.000 +0200,1000.18,-5.28,267.86,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.87,0.55,1.13,162.6
2009-01-01 17:30:00.000 +0200,1000.18,-5.21,267.94,-6.7,89.2,4.14,3.69,0.45,2.3,3.69,1298.51,0.53,1.38,147.2
2009-01-01 17:40:00.000 +0200,1000.17,-5.21,267.93,-6.75,88.9,4.14,3.68,0.46,2.29,3.68,1298.52,0.75,1.25,182.2
2009-01-01 17:50:00.000 +0200,1000.16,-5.24,267.91,-6.77,88.9,4.13,3.67,0.46,2.29,3.67,1298.65,0.72,1.25,150.4
2009-01-01 18:00:00.000 +0200,1000.16,-5.25,267.9,-6.75,89.1,4.13,3.68,0.45,2.29,3.68,1298.68,0.55,1.0,183.7
2009-01-01 18:10:00.000 +0200,1000.13,-5.16,267.99,-6.67,89.1,4.16,3.7,0.45,2.31,3.7,1298.21,0.6,1.0,186.9
2009-01-01 18:20:00.000 +0200,1000.07,-5.12,268.04,-6.62,89.1,4.17,3.72,0.45,2.31,3.72,1297.91,0.5,0.88,179.3
2009-01-01 18:30:00.000 +0200,1000.11,-5.04,268.12,-6.57,88.9,4.2,3.73,0.47,2.32,3.73,1297.56,0.41,0.88,152.3
2009-01-01 18:40:00.000 +0200,1000.18,-5.01,268.13,-6.58,88.7,4.2,3.73,0.47,2.32,3.73,1297.55,0.47,1.0,153.2
2009-01-01 18:50:00.000 +0200,1000.23,-5.12,268.02,-6.68,88.7,4.17,3.7,0.47,2.3,3.7,1298.15,0.93,1.38,148.8
2009-01-01 19:00:00.000 +0200,1000.22,-5.11,268.03,-6.57,89.4,4.17,3.73,0.44,2.32,3.73,1298.07,0.41,0.75,176.7
2009-01-01 19:10:00.000 +0200,1000.3,-4.9,268.24,-6.36,89.4,4.24,3.79,0.45,2.36,3.79,1297.1,0.35,0.88,158.1
2009-01-01 19:20:00.000 +0200,1000.19,-4.86,268.28,-6.4,88.9,4.25,3.78,0.47,2.35,3.78,1296.82,0.27,0.63,131.4
2009-01-01 19:30:00.000 +0200,1000.18,-4.9,268.25,-6.46,88.7,4.24,3.76,0.48,2.34,3.76,1296.97,0.5,0.88,149.7
2009-01-01 19:40:00.000 +0200,1000.14,-4.97,268.18,-6.53,88.7,4.22,3.74,0.48,2.33,3.74,1297.26,0.6,1.0,158.7
2009-01-01 19:50:00.000 +0200,1000.18,-4.99,268.16,-6.51,89.0,4.21,3.75,0.46,2.33,3.75,1297.41,0.55,0.88,158.4
2009-01-01 20:00:00.000 +0200,1000.22,-4.9,268.24,-6.38,89.3,4.24,3.79,0.45,2.36,3.78,1297.05,0.68,1.13,195.2
2009-01-01 20:10:00.000 +0200,1000.27,-4.93,268.21,-6.38,89.5,4.23,3.78,0.44,2.36,3.78,1297.25,0.63,1.13,206.5
2009-01-01 20:20:00.000 +0200,1000.21,-4.89,268.26,-6.29,89.8,4.24,3.81,0.43,2.37,3.81,1296.93,0.58,1.0,169.9
2009-01-01 20:30:00.000 +0200,1000.19,-4.93,268.21,-6.32,89.9,4.23,3.8,0.43,2.37,3.8,1297.13,1.04,1.5,156.2
2009-01-01 20:40:00.000 +0200,1000.24,-5.0,268.14,-6.34,90.2,4.21,3.8,0.41,2.36,3.8,1297.52,0.85,1.63,144.8
2009-01-01 20:50:00.000 +0200,1000.3,-4.9,268.24,-6.19,90.6,4.24,3.84,0.4,2.39,3.84,1297.08,0.28,0.75,146.6
2009-01-01 21:00:00.000 +0200,1000.19,-4.8,268.35,-6.14,90.2,4.27,3.85,0.42,2.4,3.85,1296.45,0.44,0.75,206.3
2009-01-01 21:10:00.000 +0200,1000.19,-4.84,268.31,-6.21,90.0,4.26,3.83,0.43,2.39,3.83,1296.64,0.83,1.13,168.5
2009-01-01 21:20:00.000 +0200,1000.15,-4.9,268.25,-6.25,90.2,4.24,3.82,0.42,2.38,3.82,1296.91,0.58,1.0,195.8
2009-01-01 21:30:00.000 +0200,1000.09,-4.86,268.29,-6.18,90.4,4.25,3.84,0.41,2.39,3.84,1296.63,0.34,0.75,212.1
2009-01-01 21:40:00.000 +0200,1000.06,-4.76,268.4,-6.06,90.5,4.29,3.88,0.41,2.42,3.88,1296.07,0.35,0.75,269.1
2009-01-01 21:50:00.000 +0200,1000.03,-4.61,268.55,-5.9,90.6,4.34,3.93,0.41,2.45,3.93,1295.29,0.33,0.75,219.7
2009-01-01 22:00:00.000 +0200,1000.0,-4.5,268.66,-5.82,90.4,4.37,3.95,0.42,2.46,3.95,1294.72,0.33,0.63,175.7
2009-01-01 22:10:00.000 +0200,999.92,-4.41,268.76,-5.73,90.4,4.4,3.98,0.42,2.48,3.98,1294.16,0.18,0.5,170.1
2009-01-01 22:20:00.000 +0200,999.93,-4.4,268.77,-5.77,90.1,4.4,3.97,0.44,2.47,3.97,1294.14,0.39,0.75,146.9
2009-01-01 22:30:00.000 +0200,999.87,-4.32,268.85,-5.7,90.0,4.43,3.99,0.44,2.48,3.99,1293.65,0.2,0.5,172.8
2009-01-01 22:40:00.000 +0200,999.8,-4.17,269.0,-5.6,89.7,4.48,4.02,0.46,2.5,4.02,1292.87,0.34,0.63,198.4
2009-01-01 22:50:00.000 +0200,999.77,-4.3,268.88,-5.79,89.3,4.44,3.96,0.47,2.47,3.96,1293.46,0.47,0.75,210.8
2009-01-01 23:00:00.000 +0200,999.77,-4.47,268.71,-5.84,90.1,4.38,3.95,0.43,2.46,3.95,1294.29,0.65,1.0,219.3
2009-01-01 23:10:00.000 +0200,999.8,-4.5,268.68,-5.71,91.2,4.37,3.99,0.38,2.48,3.99,1294.45,0.37,0.88,149.6
2009-01-01 23:20:00.000 +0200,999.81,-4.51,268.66,-5.65,91.7,4.37,4.0,0.36,2.5,4.01,1294.5,0.44,0.88,198.6
2009-01-01 23:30:00.000 +0200,999.8,-4.33,268.84,-5.36,92.5,4.43,4.09,0.33,2.55,4.09,1293.6,0.24,0.63,132.7
2009-01-01 23:40:00.000 +0200,999.71,-4.33,268.85,-5.43,92.0,4.43,4.07,0.35,2.54,4.07,1293.47,0.77,1.13,206.4
2009-01-01 23:50:00.000 +0200,999.67,-4.58,268.61,-5.62,92.4,4.34,4.01,0.33,2.5,4.02,1294.65,0.69,1.25,213.9
2009-01-02 00:00:00.000 +0200,999.59,-4.54,268.65,-5.46,93.2,4.36,4.06,0.3,2.53,4.06,1294.33,0.41,0.88,155.0
2009-01-02 00:10:00.000 +0200,999.55,-4.6,268.6,-5.52,93.2,4.34,4.04,0.29,2.52,4.04,1294.58,0.85,1.38,151.2
2009-01-02 00:20:00.000 +0200,999.56,-4.67,268.53,-5.52,93.7,4.32,4.04,0.27,2.52,4.05,1294.91,0.83,1.5,148.8
2009-01-02 00:30:00.000 +0200,999.56,-4.66,268.53,-5.46,94.1,4.32,4.06,0.25,2.53,4.06,1294.89,0.53,1.38,154.3
2009-01-02 00:40:00.000 +0200,999.48,-4.55,268.65,-5.31,94.4,4.35,4.11,0.24,2.56,4.11,1294.22,0.41,1.25,159.3
2009-01-02 00:50:00.000 +0200,999.44,-4.43,268.77,-5.19,94.4,4.39,4.15,0.25,2.59,4.15,1293.56,0.63,1.13,192.1
2009-01-02 01:00:00.000 +0200,999.34,-4.44,268.77,-5.19,94.4,4.39,4.15,0.25,2.58,4.15,1293.47,0.28,1.0,148.1
2009-01-02 01:10:00.000 +0200,999.31,-4.39,268.82,-5.14,94.5,4.41,4.16,0.24,2.6,4.17,1293.22,0.42,1.25,153.5
2009-01-02 01:20:00.000 +0200,999.21,-4.4,268.82,-5.16,94.4,4.4,4.16,0.25,2.59,4.16,1293.11,0.51,0.88,146.2
2009-01-02 01:30:00.000 +0200,999.18,-4.4,268.82,-5.13,94.6,4.4,4.17,0.24,2.6,4.17,1293.08,0.27,0.63,165.1
2009-01-02 01:40:00.000 +0200,999.08,-4.31,268.92,-5.03,94.7,4.43,4.2,0.24,2.62,4.2,1292.49,0.22,0.75,185.0
2009-01-02 01:50:00.000 +0200,999.0,-4.26,268.98,-4.99,94.6,4.45,4.21,0.24,2.63,4.21,1292.14,0.37,0.75,223.1
2009-01-02 02:00:00.000 +0200,998.93,-4.29,268.95,-5.04,94.5,4.44,4.2,0.24,2.62,4.2,1292.22,0.49,0.88,209.8
2009-01-02 02:10:00.000 +0200,998.93,-4.26,268.99,-4.99,94.6,4.45,4.21,0.24,2.63,4.22,1292.03,0.29,0.75,182.3
2009-01-02 02:20:00.000 +0200,998.82,-4.27,268.99,-5.02,94.4,4.45,4.2,0.25,2.62,4.2,1291.94,0.3,0.75,148.5
2009-01-02 02:30:00.000 +0200,998.82,-4.3,268.95,-5.04,94.5,4.44,4.19,0.24,2.62,4.2,1292.11,0.39,0.75,223.6
2009-01-02 02:40:00.000 +0200,998.78,-4.32,268.94,-5.05,94.6,4.43,4.19,0.24,2.61,4.2,1292.15,0.61,1.13,176.3
2009-01-02 02:50:00.000 +0200,998.73,-4.39,268.87,-5.12,94.6,4.41,4.17,0.24,2.6,4.18,1292.43,0.45,0.75,194.0
2009-01-02 03:00:00.000 +0200,998.69,-4.45,268.81,-5.15,94.8,4.39,4.16,0.23,2.59,4.16,1292.69,0.65,1.0,203.3
2009-01-02 03:10:00.000 +0200,998.67,-4.5,268.76,-5.17,95.0,4.37,4.15,0.22,2.59,4.16,1292.9,0.72,1.0,177.5
2009-01-02 03:20:00.000 +0200,998.58,-4.48,268.79,-5.12,95.2,4.38,4.17,0.21,2.6,4.17,1292.66,0.56,0.88,179.3
2009-01-02 03:30:00.000 +0200,998.49,-4.43,268.84,-5.07,95.3,4.39,4.19,0.21,2.61,4.19,1292.34,0.57,1.0,212.2
2009-01-02 03:40:00.000 +0200,998.44,-4.33,268.95,-4.94,95.5,4.43,4.23,0.2,2.64,4.23,1291.75,0.42,0.88,160.7
2009-01-02 03:50:00.000 +0200,998.39,-4.41,268.87,-5.07,95.1,4.4,4.18,0.22,2.61,4.19,1292.1,0.92,1.5,167.6
2009-01-02 04:00:00.000 +0200,998.32,-4.58,268.71,-5.22,95.2,4.34,4.14,0.21,2.58,4.14,1292.83,0.77,1.38,190.2
2009-01-02 04:10:00.000 +0200,998.29,-4.63,268.66,-5.25,95.4,4.33,4.13,0.2,2.58,4.14,1293.05,0.83,1.25,190.8
2009-01-02 04:20:00.000 +0200,998.12,-4.63,268.68,-5.23,95.5,4.33,4.13,0.19,2.58,4.14,1292.8,0.8,1.25,222.0
2009-01-02 04:30:00.000 +0200,997.95,-4.74,268.58,-5.33,95.6,4.29,4.1,0.19,2.56,4.11,1293.15,1.05,1.5,223.2
2009-01-02 04:40:00.000 +0200,998.03,-4.86,268.45,-5.44,95.7,4.25,4.07,0.18,2.54,4.08,1293.84,0.5,1.0,113.5
2009-01-02 04:50:00.000 +0200,998.08,-4.97,268.34,-5.51,95.9,4.22,4.05,0.17,2.53,4.05,1294.44,0.49,1.13,107.1
2009-01-02 05:00:00.000 +0200,998.1,-4.96,268.34,-5.5,96.0,4.22,4.05,0.17,2.53,4.06,1294.44,0.79,1.25,22.22
2009-01-02 05:10:00.000 +0200,998.21,-4.94,268.36,-5.48,96.0,4.23,4.06,0.17,2.53,4.06,1294.48,1.03,1.63,344.2
